49,0.089939831
2279,4.75643E-4
205109,8.0616E-4
10243643,0.001694347
542717941,0.001651681
42934971283,0.00627861
2259287667029,0.002687099
144897286732361,0.018565709
6075621448154161,0.024629484
783894032689326589,0.035933446
43725081521218886699,0.102998535
2094030555844035650407,0.379733634
159732476478126543294883,0.946601165
12477661796899476687141227,3.153644169
633847887123601165597038901,14.866002028
49009660045733235026628106457,17.262913802
1637745718541765764400562914287,33.544296263
195167984464078563766902491198659,323.076916281
10953261403172668247767662274888489,687.751153803
3401821626893395560802630096202914887497,7550.807565822
